table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
977,"San Bruno city, California","43,891","43,750","42,279","41,772","41,727","42,035",,,,,,,,,,,
978,"Danville city, Virginia","42,586","42,578","42,292","42,099","42,108","41,993",,,,,,,,,,,
979,"Royal Palm Beach village, Florida","39,441","39,515","39,529","40,102","40,625","41,948",,,,,,,,,,,
980,"Oviedo city, Florida","40,059","40,012","39,517","39,785","41,659","41,901",,,,,,,,,,,
981,"Coppell city, Texas","42,982","42,841","42,223","42,021","41,864","41,785",,,,,,,,,,,
982,"Windsor town, Colorado","32,722","33,241","35,770","38,502","40,392","41,734",,,,,,,,,,,
983,"Lancaster city, Ohio","40,535","40,631","40,826","41,234","41,480","41,671",,,,,,,,,,,
984,"Covington city, Kentucky","40,953","40,942","40,748","40,953","41,176","41,611",,,,,,,,,,,
985,"Lynnwood city, Washington","38,571","38,549","38,910","40,434","41,069","41,597",,,,,,,,,,,
986,"Crystal Lake city, Illinois","40,264","40,240","40,501","40,676","40,941","41,513",,,,,,,,,,,
987,"Milton city, Georgia","41,291","41,398","41,325","41,920","41,590","41,490",,,,,,,,,,,
988,"La Vergne city, Tennessee","38,709","38,705","39,626","40,366","41,051","41,430",,,,,,,,,,,
989,"Cedar Falls city, Iowa","40,728","40,711","40,672","40,584","41,095","41,417",,,,,,,,,,,
990,"Lake Stevens city, Washington","38,930","39,112","39,815","40,183","40,736","41,350",,,,,,,,,,,
991,"American Fork city, Utah","33,378","33,560","34,453","37,368","38,894","41,298",,,,,,,,,,,
992,"Friendswood city, Texas","41,065","41,027","40,959","40,828","41,056","41,291",,,,,,,,,,,
993,"Brookfield city, Wisconsin","41,465","41,478","41,351","41,099","41,140","41,268",,,,,,,,,,,
994,"State College borough, Pennsylvania","40,787","40,704","41,303","40,757","41,267","41,228",,,,,,,,,,,
995,"Stanton city, California","37,949","38,083","38,767","39,199","39,724","41,188",,,,,,,,,,,
996,"Romeoville village, Illinois","40,803","40,809","41,449","41,124","41,105","41,177",,,,,,,,,,,
997,"Hobbs city, New Mexico","40,523","40,659","39,806","39,579","40,155","41,061",,,,,,,,,,,
998,"West Fargo city, North Dakota","38,636","38,901","39,487","40,228","40,820","41,027",,,,,,,,,,,
999,"Amherst Town city, Massachusetts","39,264","27,806","40,260","40,754","41,049","40,989",,,,,,,,,,,
1000,"Florence city, South Carolina","40,109","40,096","40,119","40,250","40,675","40,923",,,,,,,,,,,
1001,"Tooele city, Utah","35,744","36,036","37,253","38,624","39,315","40,919",,,,,,,,,,,
1002,"Cedar City city, Utah","35,248","35,473","37,359","38,802","40,104","40,885",,,,,,,,,,,
1003,"Kearny town, New Jersey","42,004","41,710","40,332","39,864","40,236","40,866",,,,,,,,,,,
1004,"Lathrop city, California","28,730","29,123","31,346","35,189","38,721","40,860",,,,,,,,,,,
1005,"Cape Girardeau city, Missouri","39,556","39,786","40,012","40,427","40,579","40,818",,,,,,,,,,,
1006,"Lancaster city, Texas","41,281","41,261","40,722","40,558","40,686","40,780",,,,,,,,,,,
1007,"Peachtree City city, Georgia","38,255","38,369","38,887","39,595","40,298","40,758",,,,,,,,,,,
1008,"Bartlett village, Illinois","41,126","41,023","40,556","40,263","40,298","40,718",,,,,,,,,,,
1009,"Menomonee Falls village, Wisconsin","38,522","38,625","38,893","39,436","40,053","40,700",,,,,,,,,,,
1010,"Rexburg city, Idaho","39,790","39,764","40,394","41,109","40,707","40,695",,,,,,,,,,,
1011,"Annapolis city, Maryland","40,799","40,857","40,806","40,707","40,633","40,689",,,,,,,,,,,
1012,"Fort Lee borough, New Jersey","40,172","40,052","39,911","39,829","40,065","40,566",,,,,,,,,,,
1013,"Belleville city, Illinois","42,386","42,278","41,844","41,315","40,876","40,560",,,,,,,,,,,
1014,"Douglasville city, Georgia","34,652","34,781","35,231","37,962","39,062","40,540",,,,,,,,,,,
1015,"Myrtle Beach city, South Carolina","35,696","35,973","37,007","38,457","39,779","40,535",,,,,,,,,,,
1016,"Aventura city, Florida","40,234","40,043","39,321","39,515","40,021","40,531",,,,,,,,,,,
1017,"Georgetown city, Kentucky","37,551","37,789","38,389","39,070","39,827","40,518",,,,,,,,,,,
1018,"DeKalb city, Illinois","40,304","40,224","40,296","40,314","40,317","40,491",,,,,,,,,,,
1019,"Westfield city, Massachusetts","40,824","40,169","40,561","40,439","40,283","40,403",,,,,,,,,,,
1020,"Findlay city, Ohio","40,297","40,277","40,241","40,266","40,297","40,343",,,,,,,,,,,
1021,"New Berlin city, Wisconsin","40,449","40,454","40,329","40,135","40,207","40,302",,,,,,,,,,,
1022,"Bettendorf city, Iowa","39,101","39,130","39,333","39,584","39,941","40,281",,,,,,,,,,,
1023,"Wausau city, Wisconsin","40,034","40,042","39,769","39,868","40,148","40,262",,,,,,,,,,,
1024,"Chelsea city, Massachusetts","40,746","40,549","39,596","39,577","39,526","40,245",,,,,,,,,,,
1025,"Valley Stream village, New York","40,637","40,500","40,409","40,220","40,136","40,232",,,,,,,,,,,
1026,"Dover city, Delaware","39,498","39,407","39,694","39,896","40,049","40,191",,,,,,,,,,,
1027,"Maplewood city, Minnesota","42,086","42,026","40,994","40,080","40,147","40,142",,,,,,,,,,,
1028,"Prattville city, Alabama","37,731","37,839","38,265","38,728","39,336","40,139",,,,,,,,,,,
1029,"Germantown city, Tennessee","41,335","41,263","40,924","40,653","40,438","40,128",,,,,,,,,,,
1030,"San Luis city, Arizona","35,467","35,771","36,295","36,056","38,530","40,064",,,,,,,,,,,
1030,"Rancho Palos Verdes city, California","42,279","42,133","41,246","40,650","40,260","40,064",,,,,,,,,,,
1032,"Monroe city, North Carolina","34,626","34,685","35,059","36,078","37,950","40,054",,,,,,,,,,,
1033,"Lake Oswego city, Oregon","40,845","40,889","40,629","40,226","40,117","40,029",,,,,,,,,,,
1034,"Norwich city, Connecticut","40,126","40,018","40,045","39,864","39,908","39,993",,,,,,,,,,,
1035,"La Quinta city, California","37,647","37,741","38,198","38,547","39,181","39,907",,,,,,,,,,,
1036,"Culver City city, California","40,820","40,720","39,990","39,607","39,542","39,883",,,,,,,,,,,
1037,"Urbana city, Illinois","38,988","38,867","39,300","39,266","39,455","39,831",,,,,,,,,,,
1038,"Winter Springs city, Florida","38,357","38,382","38,256","38,923","39,372","39,822",,,,,,,,,,,
1039,"Parkland city, Florida","34,673","34,911","35,341","37,235","38,677","39,700",,,,,,,,,,,
1040,"Issaquah city, Washington","40,073","40,103","39,552","39,344","39,338","39,664",,,,,,,,,,,
1041,"Copperas Cove city, Texas","36,668","36,732","37,476","38,019","38,767","39,627",,,,,,,,,,,
1042,"Riviera Beach city, Florida","37,592","37,609","38,148","38,658","39,277","39,620",,,,,,,,,,,
1043,"Spartanburg city, South Carolina","38,727","38,604","38,433","38,663","39,280","39,606",,,,,,,,,,,
1044,"Richmond city, Kentucky","35,150","35,295","35,465","36,692","38,510","39,581",,,,,,,,,,,
1045,"Hutchinson city, Kansas","40,018","40,005","39,731","39,700","39,605","39,561",,,,,,,,,,,
1046,"Carol Stream village, Illinois","39,851","39,760","39,425","39,181","39,249","39,556",,,,,,,,,,,
1047,"Hurst city, Texas","40,417","40,316","40,100","39,788","39,589","39,500",,,,,,,,,,,
1048,"Grants Pass city, Oregon","39,191","39,244","39,432","39,121","39,325","39,468",,,,,,,,,,,
1049,"Kearns metro township, Utah","36,722","36,737","36,720","37,402","38,190","39,398",,,,,,,,,,,
1050,"Weatherford city, Texas","30,902","31,178","33,981","36,244","38,198","39,397",,,,,,,,,,,
1051,"Woodstock city, Georgia","35,095","35,234","36,365","37,365","38,543","39,381",,,,,,,,,,,
1052,"Garner town, North Carolina","31,383","31,412","32,094","33,839","35,654","39,345",,,,,,,,,,,
1053,"Sun Prairie city, Wisconsin","35,972","36,008","36,650","37,497","38,360","39,253",,,,,,,,,,,
1054,"Duncanville city, Texas","40,707","40,533","39,808","39,556","39,335","39,203",,,,,,,,,,,
1055,"Keizer city, Oregon","39,363","39,325","39,205","38,828","38,860","39,152",,,,,,,,,,,
1056,"Braintree Town city, Massachusetts","39,146","39,075","38,789","38,763","38,771","39,134",,,,,,,,,,,
1057,"Syracuse city, Utah","32,140","32,390","33,403","35,577","37,124","38,999",,,,,,,,,,,
1058,"Atlantic City city, New Jersey","38,489","38,416","38,453","38,597","38,701","38,959",,,,,,,,,,,
1059,"Hilliard city, Ohio","37,168","37,190","36,980","37,558","37,630","38,832",,,,,,,,,,,
1060,"Seguin city, Texas","29,447","29,480","30,969","33,447","36,122","38,789",,,,,,,,,,,
1061,"Quincy city, Illinois","39,637","39,575","39,275","38,980","38,959","38,786",,,,,,,,,,,
1062,"Pine Bluff city, Arkansas","41,255","40,974","40,338","39,609","38,985","38,785",,,,,,,,,,,
1063,"Oswego village, Illinois","34,623","34,744","35,356","35,952","37,080","38,778",,,,,,,,,,,
1064,"Lincoln Park city, Michigan","40,258","40,106","39,617","39,043","38,779","38,774",,,,,,,,,,,
1065,"Lewiston city, Maine","37,124","37,110","38,379","38,632","38,709","38,772",,,,,,,,,,,
1066,"Rome city, Georgia","37,929","37,874","37,779","38,164","38,411","38,747",,,,,,,,,,,
1067,"Calexico city, California","38,616","38,582","38,550","38,475","38,563","38,744",,,,,,,,,,,
1068,"Roy city, Utah","39,305","39,325","39,308","38,847","38,715","38,719",,,,,,,,,,,
1069,"Warren city, Ohio","39,248","39,164","39,068","38,921","38,754","38,683",,,,,,,,,,,
1070,"Socorro city, Texas","34,301","34,638","36,172","37,806","38,334","38,642",,,,,,,,,,,
1071,"Westerville city, Ohio","39,192","39,240","38,682","38,541","38,493","38,612",,,,,,,,,,,
1072,"Erie town, Colorado","30,053","30,413","31,549","33,148","35,333","38,594",,,,,,,,,,,
1073,"Portage city, Indiana","37,933","37,963","38,261","38,371","38,496","38,576",,,,,,,,,,,
1074,"Forney city, Texas","23,493","23,912","27,335","32,212","35,677","38,572",,,,,,,,,,,
1075,"Phenix City city, Alabama","38,817","38,809","38,395","38,264","38,513","38,509",,,,,,,,,,,
1076,"Park Ridge city, Illinois","39,645","39,502","38,806","38,331","38,203","38,445",,,,,,,,,,,
1077,"Estero village, Florida","36,948","37,055","37,468","37,998","38,379","38,443",,,,,,,,,,,
1078,"Oak Creek city, Wisconsin","36,507","36,674","36,399","37,425","37,808","38,373",,,,,,,,,,,
1079,"Streamwood village, Illinois","39,597","39,450","38,733","38,228","38,108","38,360",,,,,,,,,,,
1080,"Bartlesville city, Oklahoma","37,281","37,390","37,570","37,836","38,169","38,355",,,,,,,,,,,
1081,"Wheeling village, Illinois","39,186","39,223","38,520","38,029","38,061","38,329",,,,,,,,,,,
1082,"Oregon City city, Oregon","37,585","37,774","37,648","37,327","37,707","38,327",,,,,,,,,,,
1083,"Longview city, Washington","37,819","37,869","37,969","38,025","38,172","38,294",,,,,,,,,,,
1084,"Northglenn city, Colorado","38,111","38,040","37,428","38,150","38,329","38,287",,,,,,,,,,,
1085,"East Point city, Georgia","38,362","38,400","38,225","38,459","38,284","38,270",,,,,,,,,,,
1086,"Hilton Head Island town, South Carolina","37,662","37,586","37,662","38,035","38,163","38,158",,,,,,,,,,,
1087,"Vestavia Hills city, Alabama","39,160","39,116","38,790","38,279","38,099","38,151",,,,,,,,,,,
1088,"Cleburne city, Texas","31,287","31,460","32,146","33,860","36,219","38,131",,,,,,,,,,,
1089,"Pleasant Grove city, Utah","37,715","37,731","37,954","37,771","37,630","38,127",,,,,,,,,,,
1090,"Benton city, Arkansas","35,020","35,121","35,688","36,589","37,540","38,088",,,,,,,,,,,
1091,"Canton city, Georgia","32,946","33,393","34,620","35,788","36,845","38,049",,,,,,,,,,,
1092,"La Porte city, Texas","35,128","35,304","36,064","36,760","37,490","38,046",,,,,,,,,,,
1093,"Hot Springs city, Arkansas","37,898","37,937","37,877","37,931","37,906","37,971",,,,,,,,,,,
1094,"Adelanto city, California","38,035","38,110","38,216","37,367","38,171","37,941",,,,,,,,,,,
1095,"San Gabriel city, California","39,578","39,470","38,589","38,134","37,939","37,926",,,,,,,,,,,
1096,"Holyoke city, Massachusetts","38,248","38,139","37,716","37,676","37,673","37,838",,,,,,,,,,,
1097,"Cibolo city, Texas","32,262","32,813","33,508","34,832","36,479","37,816",,,,,,,,,,,
1098,"Leesburg city, Florida","27,011","27,127","27,941","29,257","31,913","37,815",,,,,,,,,,,
1099,"Plainfield town, Indiana","34,649","34,899","35,558","36,239","37,167","37,796",,,,,,,,,,,
1100,"Monrovia city, California","37,934","38,000","37,619","37,223","37,288","37,787",,,,,,,,,,,
1101,"Tupelo city, Mississippi","37,919","37,918","37,798","37,735","37,717","37,775",,,,,,,,,,,
1102,"Kennesaw city, Georgia","33,236","33,371","33,345","33,659","34,891","37,740",,,,,,,,,,,
1103,"Wildomar city, California","36,889","36,926","37,161","37,139","37,337","37,736",,,,,,,,,,,
1104,"New Albany city, Indiana","37,819","37,797","37,612","37,471","37,357","37,652",,,,,,,,,,,
1105,"Montclair city, California","37,890","37,946","37,970","37,780","37,646","37,650",,,,,,,,,,,
1106,"Redmond city, Oregon","33,288","33,774","35,627","36,391","37,068","37,626",,,,,,,,,,,
1107,"Bell Gardens city, California","39,513","39,383","38,550","38,008","37,688","37,565",,,,,,,,,,,
1108,"Clovis city, New Mexico","38,553","38,512","38,191","37,763","37,687","37,555",,,,,,,,,,,
1109,"North Ridgeville city, Ohio","35,281","35,455","36,189","36,814","37,113","37,504",,,,,,,,,,,
1110,"Sahuarita town, Arizona","34,100","34,356","35,243","35,703","36,538","37,448",,,,,,,,,,,
1111,"Leavenworth city, Kansas","37,350","37,318","37,194","37,040","37,133","37,370",,,,,,,,,,,
1112,"Farmers Branch city, Texas","35,572","36,221","36,021","36,362","37,331","37,341",,,,,,,,,,,
1112,"San Juan city, Texas","35,325","35,369","35,542","35,866","36,638","37,341",,,,,,,,,,,
1114,"Lauderdale Lakes city, Florida","35,960","36,054","35,693","36,147","36,774","37,333",,,,,,,,,,,
1115,"Muskegon city, Michigan","37,228","37,211","37,252","37,153","37,168","37,287",,,,,,,,,,,
1116,"Greenfield city, Wisconsin","37,788","37,738","37,328","37,372","37,189","37,232",,,,,,,,,,,
1117,"Tucker city, Georgia","37,119","37,159","37,036","37,052","37,209","37,224",,,,,,,,,,,
1118,"Carpentersville village, Illinois","37,988","37,911","37,710","37,356","37,265","37,144",,,,,,,,,,,
1119,"Cookeville city, Tennessee","34,825","34,937","35,538","36,065","36,706","37,102",,,,,,,,,,,
1120,"Pacifica city, California","38,661","38,541","37,165","36,727","36,757","37,056",,,,,,,,,,,
1121,"Panama City city, Florida","33,047","32,858","34,178","34,861","35,969","37,024",,,,,,,,,,,
1122,"Princeton city, Texas","17,065","17,569","20,134","23,024","28,336","37,019",,,,,,,,,,,
1123,"Martinez city, California","37,268","37,187","36,943","36,666","36,712","37,006",,,,,,,,,,,
1124,"Merrillville town, Indiana","36,444","36,459","36,422","36,264","36,347","36,989",,,,,,,,,,,
1125,"Muskogee city, Oklahoma","36,846","36,770","36,725","36,682","36,844","36,849",,,,,,,,,,,
1126,"Hanover Park village, Illinois","37,463","37,344","36,830","36,464","36,444","36,685",,,,,,,,,,,
1127,"La Puente city, California","38,061","37,938","37,299","36,989","36,755","36,670",,,,,,,,,,,
1128,"Beloit city, Wisconsin","36,689","36,721","36,467","36,460","36,487","36,633",,,,,,,,,,,
1129,"Franklin city, Wisconsin","36,142","36,152","35,561","35,303","35,751","36,591",,,,,,,,,,,
1130,"Hinesville city, Georgia","34,892","35,073","34,984","35,494","36,331","36,583",,,,,,,,,,,
1131,"Salisbury city, North Carolina","35,539","35,328","35,206","35,705","36,314","36,579",,,,,,,,,,,
1132,"Richfield city, Minnesota","37,002","36,925","36,538","36,759","36,567","36,491",,,,,,,,,,,
1133,"Fair Lawn borough, New Jersey","34,930","34,867","35,214","35,481","35,891","36,489",,,,,,,,,,,
1134,"El Mirage city, Arizona","35,799","35,953","35,982","35,994","36,013","36,468",,,,,,,,,,,
1135,"Rock Island city, Illinois","37,103","37,010","36,587","36,322","36,296","36,434",,,,,,,,,,,
1136,"Fort Mill town, South Carolina","24,529","25,204","27,947","30,888","33,641","36,244",,,,,,,,,,,
1137,"Inver Grove Heights city, Minnesota","35,813","35,826","35,629","35,750","36,196","36,226",,,,,,,,,,,
1138,"Midvale city, Utah","36,024","36,116","35,881","35,791","35,963","36,219",,,,,,,,,,,
1139,"Bluffton town, South Carolina","27,703","28,324","31,733","34,390","35,230","36,146",,,,,,,,,,,
1140,"Upper Arlington city, Ohio","36,793","36,760","36,332","36,144","36,044","36,140",,,,,,,,,,,
1141,"Claremont city, California","37,494","37,427","36,891","36,335","36,125","36,139",,,,,,,,,,,
1142,"Norristown borough, Pennsylvania","35,744","35,734","35,882","35,801","35,852","36,075",,,,,,,,,,,
1143,"Mason city, Ohio","34,804","34,886","35,197","35,602","35,868","36,046",,,,,,,,,,,
1144,"Springville city, Utah","35,272","35,346","36,164","35,976","35,803","36,027",,,,,,,,,,,
1145,"Watertown city, Massachusetts","35,338","35,369","35,308","35,403","35,652","35,985",,,,,,,,,,,
1146,"Texarkana city, Texas","36,243","36,229","36,120","35,851","35,757","35,971",,,,,,,,,,,
1147,"Dunedin city, Florida","36,088","36,070","36,053","36,170","36,140","35,932",,,,,,,,,,,
1148,"Stockbridge city, Georgia","35,668","35,740","35,892","35,672","35,507","35,893",,,,,,,,,,,
1149,"Addison village, Illinois","35,696","35,631","35,387","35,243","35,420","35,728",,,,,,,,,,,
1150,"Torrington city, Connecticut","35,503","35,363","35,530","35,567","35,566","35,673",,,,,,,,,,,
1151,"Roseville city, Minnesota","36,270","36,225","35,943","35,665","35,616","35,637",,,,,,,,,,,
1152,"Moorpark city, California","36,290","36,247","36,027","35,727","35,615","35,621",,,,,,,,,,,
1153,"Marion city, Ohio","36,053","36,053","35,977","35,344","35,565","35,576",,,,,,,,,,,
1154,"Richmond city, Indiana","35,754","35,725","35,661","35,583","35,533","35,561",,,,,,,,,,,
1155,"Gahanna city, Ohio","35,727","35,705","35,465","35,257","35,458","35,544",,,,,,,,,,,
1156,"Cooper City city, Florida","34,398","34,334","34,055","34,449","35,031","35,541",,,,,,,,,,,
1157,"Washington city, Utah","27,996","28,638","30,983","32,713","33,902","35,501",,,,,,,,,,,
1158,"Butte-Silver Bow (balance), Montana","34,494","34,573","34,867","35,225","35,538","35,480",,,,,,,,,,,
1159,"San Juan Capistrano city, California","35,197","35,159","34,919","34,877","35,031","35,469",,,,,,,,,,,
1160,"Wenatchee city, Washington","35,626","35,605","35,619","35,501","35,328","35,401",,,,,,,,,,,
1161,"Kingman city, Arizona","32,689","32,894","33,870","34,637","35,077","35,383",,,,,,,,,,,
1162,"Mount Vernon city, Washington","35,234","35,312","35,467","35,428","35,294","35,344",,,,,,,,,,,
1163,"Harker Heights city, Texas","33,090","33,234","33,603","34,112","34,440","35,263",,,,,,,,,,,
1164,"McMinnville city, Oregon","34,349","34,266","34,316","34,271","34,908","35,255",,,,,,,,,,,
1165,"Englewood city, Colorado","33,639","33,622","33,662","33,678","34,489","35,238",,,,,,,,,,,
1166,"Statesboro city, Georgia","33,427","33,464","33,294","34,336","34,435","35,226",,,,,,,,,,,
1167,"Brunswick city, Ohio","35,407","35,431","35,371","35,211","35,087","35,166",,,,,,,,,,,
1168,"University Place city, Washington","34,872","34,904","34,941","34,642","34,946","35,160",,,,,,,,,,,
1169,"Randolph Town city, Massachusetts","35,028","34,971","34,755","34,762","34,795","35,114",,,,,,,,,,,
1170,"Fairborn city, Ohio","34,524","34,575","34,440","34,750","34,816","35,105",,,,,,,,,,,
1171,"Crown Point city, Indiana","33,899","33,996","34,131","34,553","34,871","35,097",,,,,,,,,,,
1172,"Wildwood city, Missouri","35,418","35,390","35,257","35,005","34,985","35,082",,,,,,,,,,,
1173,"Valparaiso city, Indiana","34,161","34,170","34,485","34,606","34,621","35,065",,,,,,,,,,,
1174,"Holland city, Michigan","34,374","34,350","34,195","34,023","34,549","35,023",,,,,,,,,,,
1175,"Opelika city, Alabama","31,005","31,071","31,534","32,762","33,692","35,005",,,,,,,,,,,
1176,"Temple City city, California","36,460","36,365","35,627","35,184","34,998","34,989",,,,,,,,,,,
1177,"Dalton city, Georgia","34,461","34,424","34,227","34,417","34,655","34,970",,,,,,,,,,,
1178,"Calumet City city, Illinois","36,043","35,905","35,237","34,763","34,643","34,855",,,,,,,,,,,
1179,"Clearfield city, Utah","31,902","31,914","32,246","34,079","34,579","34,778",,,,,,,,,,,
1180,"Long Beach city, New York","35,046","34,801","34,795","34,691","34,693","34,777",,,,,,,,,,,
1181,"Kearney city, Nebraska","33,800","33,882","33,986","34,256","34,364","34,741",,,,,,,,,,,
1182,"Helena city, Montana","32,112","32,255","33,092","33,828","34,369","34,729",,,,,,,,,,,
1183,"Lewiston city, Idaho","34,210","34,250","34,512","34,906","34,837","34,693",,,,,,,,,,,
1184,"Lima city, Ohio","35,531","35,483","35,262","34,912","34,745","34,690",,,,,,,,,,,
1185,"Del Rio city, Texas","34,715","34,719","34,600","34,634","34,686","34,678",,,,,,,,,,,
1186,"College Park city, Maryland","34,759","34,712","34,522","34,374","34,434","34,667",,,,,,,,,,,
1187,"Goldsboro city, North Carolina","34,255","34,495","34,181","34,118","34,505","34,629",,,,,,,,,,,
1188,"Manitowoc city, Wisconsin","34,646","34,663","34,727","34,520","34,572","34,616",,,,,,,,,,,
1189,"Elizabethtown city, Kentucky","31,392","31,412","31,941","31,910","33,061","34,565",,,,,,,,,,,
1190,"Northbrook village, Illinois","35,266","35,152","34,613","34,268","34,291","34,546",,,,,,,,,,,
1191,"Deer Park city, Texas","34,500","34,364","33,745","33,668","33,601","34,495",,,,,,,,,,,
1192,"Alabaster city, Alabama","33,342","33,401","33,723","33,870","34,166","34,460",,,,,,,,,,,
1193,"Goshen city, Indiana","34,514","34,506","34,447","34,418","34,447","34,458",,,,,,,,,,,
1194,"Leland town, North Carolina","23,377","25,163","27,391","29,518","31,495","34,451",,,,,,,,,,,
1195,"Waukee city, Iowa","23,949","24,368","26,487","29,154","31,750","34,420",,,,,,,,,,,
1196,"Lufkin city, Texas","34,173","34,127","34,209","34,214","34,328","34,399",,,,,,,,,,,
1197,"West Hollywood city, California","35,810","35,696","35,055","34,752","34,530","34,371",,,,,,,,,,,
1198,"Cornelius town, North Carolina","31,419","31,523","31,729","32,747","33,485","34,366",,,,,,,,,,,
1199,"Fitchburg city, Wisconsin","30,983","31,300","31,647","32,323","33,450","34,357",,,,,,,,,,,
1200,"Greenville city, Texas","28,147","28,285","29,566","31,096","32,794","34,355",,,,,,,,,,,
1201,"University City city, Missouri","35,232","35,170","34,907","34,571","34,386","34,349",,,,,,,,,,,
1202,"Westlake city, Ohio","34,238","34,200","33,986","33,976","34,123","34,232",,,,,,,,,,,
1203,"New Bern city, North Carolina","31,317","31,338","31,822","32,544","33,789","34,218",,,,,,,,,,,
1204,"Pleasant Hill city, California","34,611","34,589","34,379","34,111","34,004","34,169",,,,,,,,,,,
1205,"Woodridge village, Illinois","34,153","34,116","33,876","33,716","33,830","34,103",,,,,,,,,,,
1206,"Stow city, Ohio","34,490","34,460","34,386","34,263","34,039","34,101",,,,,,,,,,,
1207,"Petersburg city, Virginia","33,465","33,398","33,422","33,481","33,328","34,058",,,,,,,,,,,
1208,"Chester city, Pennsylvania","32,724","32,695","33,693","33,681","33,907","34,052",,,,,,,,,,,
1209,"Oak Ridge city, Tennessee","31,406","31,461","31,864","32,655","33,450","34,039",,,,,,,,,,,
1210,"SeaTac city, Washington","31,439","31,387","31,597","32,012","33,152","34,024",,,,,,,,,,,
1211,"Leawood city, Kansas","33,896","33,881","33,690","33,519","33,904","34,013",,,,,,,,,,,
1212,"Eastpointe city, Michigan","34,329","34,258","34,092","33,834","33,803","33,943",,,,,,,,,,,
1213,"Desert Hot Springs city, California","32,532","32,554","32,879","33,156","33,521","33,917",,,,,,,,,,,
1214,"Dover city, New Hampshire","32,749","32,783","33,281","33,352","33,503","33,909",,,,,,,,,,,
1215,"Walla Walla city, Washington","34,275","34,275","33,855","33,829","33,749","33,901",,,,,,,,,,,
1216,"Gillette city, Wyoming","33,423","33,494","33,008","33,287","33,523","33,846",,,,,,,,,,,
1217,"Ithaca city, New York","32,107","30,180","32,763","33,739","33,630","33,768",,,,,,,,,,,
1218,"Florence city, Kentucky","31,985","32,092","32,296","32,694","33,169","33,763",,,,,,,,,,,
1219,"Franklin Town city, Massachusetts","33,271","32,324","33,101","33,217","33,376","33,742",,,,,,,,,,,
1220,"Spring Valley village, New York","33,066","32,975","33,112","33,077","33,237","33,637",,,,,,,,,,,
1221,"Salisbury city, Maryland","32,984","32,971","33,121","33,292","33,372","33,616",,,,,,,,,,,
1222,"Rochester city, New Hampshire","32,496","32,521","32,910","33,104","33,523","33,598",,,,,,,,,,,
1223,"LaGrange city, Georgia","30,879","30,933","31,537","31,842","32,453","33,564",,,,,,,,,,,
1224,"Meridian city, Mississippi","35,053","34,872","34,514","34,051","33,752","33,549",,,,,,,,,,,
1225,"Pullman city, Washington","32,905","32,857","28,621","33,010","33,163","33,543",,,,,,,,,,,
1226,"Garfield city, New Jersey","32,651","32,559","32,517","32,498","32,758","33,530",,,,,,,,,,,
1227,"St. Charles city, Illinois","33,126","33,084","33,097","32,849","32,850","33,482",,,,,,,,,,,
1228,"Nicholasville city, Kentucky","31,108","31,131","31,526","32,036","32,753","33,458",,,,,,,,,,,
1229,"Manhattan Beach city, California","35,499","35,380","34,583","33,996","33,628","33,453",,,,,,,,,,,
1230,"Eagle city, Idaho","31,141","31,603","32,831","33,251","33,149","33,451",,,,,,,,,,,
1231,"Brownsburg town, Indiana","29,013","29,169","30,199","31,356","32,347","33,430",,,,,,,,,,,
1232,"Andover city, Minnesota","32,598","32,661","32,968","32,982","33,151","33,426",,,,,,,,,,,
1233,"Sherwood city, Arkansas","32,759","32,806","33,026","33,105","33,170","33,281",,,,,,,,,,,
1234,"Bella Vista city, Arkansas","30,082","30,217","30,730","31,794","32,495","33,274",,,,,,,,,,,
1235,"Kaysville city, Utah","32,971","33,040","33,098","32,832","33,070","33,252",,,,,,,,,,,
1236,"Miami Lakes town, Florida","30,460","30,440","30,460","31,282","32,269","33,247",,,,,,,,,,,
1237,"San Dimas city, California","34,908","34,795","34,077","33,612","33,337","33,226",,,,,,,,,,,
1238,"Long Branch city, New Jersey","31,660","31,672","32,448","32,467","32,858","33,214",,,,,,,,,,,
1239,"Des Moines city, Washington","32,915","32,889","32,676","32,473","32,820","33,207",,,,,,,,,,,
1240,"Zionsville town, Indiana","30,602","30,837","31,715","32,092","32,571","33,161",,,,,,,,,,,
1241,"Duluth city, Georgia","31,954","31,955","31,976","32,263","32,699","33,157",,,,,,,,,,,
1242,"New Smyrna Beach city, Florida","30,254","30,458","31,185","32,238","32,837","33,144",,,,,,,,,,,
1243,"Gadsden city, Alabama","33,911","33,867","33,484","33,239","33,197","33,086",,,,,,,,,,,
1244,"Dania Beach city, Florida","31,774","31,730","31,528","31,970","32,568","33,076",,,,,,,,,,,
1245,"Menlo Park city, California","33,782","33,689","32,560","32,097","32,290","33,040",,,,,,,,,,,
1246,"Sachse city, Texas","27,111","27,083","29,015","30,674","32,624","33,008",,,,,,,,,,,
1247,"Morristown city, Tennessee","30,446","30,479","30,549","31,466","32,222","32,994",,,,,,,,,,,
